restaurant,word,times
Mama's Fried Chicken,fried,4
Baja Fresh,just,5
Buffalo Wild Wings,wings,7
Roll Inn,sandwich,47
Sakura Xpress,sauce,19
Jimmy John's,sandwich,58
Five Guys Famous Burgers and Fries,burger,8
Shogun Fusion Noodle Cafe,pho,2
The Lot Marketplace,or,7
Jimmy John's Gourmet Sandwich,sandwich,11
Saladworks,salad,6
Taco Bell and A&W,soda,5
Clover Food Lab,sandwich,133
GetGo,up,3
J.R. Crickets,wings,47
Pick Up Stix,up,26
Chipotle,burrito,125
Pita Pit,pita,12
The Pita Pit,pita,37
The Hat,pastrami,105
Checkers Drive In,drive,4
B-Ski's,one,10
Fatburger,burger,29
Casa Del Norte,star,3
Pastagina,pasta,25
McDonald's,when,38
Qdoba Mexican Grill,just,9
Burger King,BK,15
Magic Carpet Foods,can,5
KoKo Express,can,4
Which Wich,sandwich,39
EZ Take Out Burger,just,13
Derald's,fish,13
Little Bigs,fries,9
Maoz Vegetarian,falafel,173
Ollie's Grill,or,7
Five Guys Burgers and Fries,fries,34
Pie'n Burger,&,6
Hudson's Grill,Unfortunately,,1
Taco Bell,one,26
California Toss,pizza,3
VERTS Kebap,meat,5
Gus's Hotdogs,hot,24
Sepal,Student,4
Jack In the Box,fast,9
Pasta Roma,pasta,46
Wendy's Old Fashioned Hamburgers,fast,16
Subway,sandwich,28
Chick-Fil-A,chicken,136
Quizno's,they're,8
Panda Express,it's,20
Rathskellar - Rensselaer Union,there,2
Popeyes,chicken,11
In-N-Out Burger,fries,79
Del Taco,or,13
Currito,burrito,5
Carl's Jr.,all,9
Hardee's,wait,2
Carl's Jr,Jr.,3
Villa Pizza,here,3
Chicken Kitchen,chicken,28
Chipotle Mexican Grill,burrito,248
Sarku Japan,Bento,7
Steam Cafe,rice,5
Wendy's,fast,9
Winner's Fast Food,fried,3
Jack In The Box,up,4
Dobie Mall,movie,4
The Varsity,chili,248
Vegetarian Fastfood Restaurant,pad,3
Texadelphia,mustard,35
Chick-fil-A,fresh,2
El Pollo Loco,time,4
Wahoo's Fish Taco,fish,3
Joe's Joint,fries,8
